No    | English            | Vietnamese
1089  | chronometer        | thach anh
1090  | chrysalis          | nhong
1091  | chub               | beo
1092  | chuck              | chuck
1093  | chug               | tieng no
1094  | church             | nha tho
1095  | churn              | khuay
1096  | chutney            | tuong ot
1097  | cicada             | con ve sau
1098  | cigarette          | thuoc la
1099  | cilantro           | ngo
1100  | cinder             | than
1101  | cinema             | rap chieu phim
1102  | cinnamon           | que
1103  | circadian          | sinh hoc
1104  | circle             | vong tron
1105  | circuit            | mach
1106  | circulation        | luu thong
1107  | circumference      | chu
1108  | circumstance       | hoan canh
1109  | cirrhosis          | xo
1110  | cirrus             | ti
1111  | citizen            | cong dan
1112  | citizenship        | quoc tich
1113  | citron             | chanh
1114  | citrus             | chanh
1115  | city               | thanh pho
1116  | civilian           | dan su,
1117  | civilisation       | nen van minh
1118  | civilization       | nen van minh
1119  | claim              | pha
1120  | clam               | ngao
1121  | clamp              | kep
1122  | clan               | gia toc
1123  | clank              | clank
1124  | clapboard          | tam
1125  | clarification      | lam ro
1126  | clarinet           | clarinet
1127  | clarity            | ro rang
1128  | clasp              | clasp
1129  | class              | lop
1130  | classic            | co dien
1131  | classification     | phan loai
1132  | classmate          | ban cung lop,
1133  | classroom          | lop hoc
1134  | clause             | clause
1135  | clave              | clave
1136  | clavicle           | xuong don
1137  | clavier            | clavier
1138  | claw               | claw
1139  | clay               | clay
1140  | cleaner            | bui
1141  | clearance          | ra
1142  | clearing           | xoa
1143  | cleat              | rat
1144  | cleavage           | phan chia
1145  | clef               | khoa
1146  | cleft              | sut
1147  | clergyman          | muc su
1148  | cleric             | cleric
1149  | clerk              | nhan vien ban hang
1150  | click              | bam
1151  | client             | khach hang
1152  | cliff              | cliff
1153  | climate            | khi hau
1154  | climb              | leo len
1155  | clinic             | phong kham
1156  | clip               | clip
1157  | clipboard          | tam
1158  | clipper            | clipper
1159  | cloak              | ao choang
1160  | cloakroom          | quan ao
1161  | clock              | dong ho
1162  | clockwork          | dong ho,
1163  | clogs              | guoc
1164  | cloister           | cloister
1165  | clone              | ban sao
1166  | close              | gan
1167  | closet             | tu quan ao
1168  | closing            | dong cua
1169  | closure            | dong cua
1170  | cloth              | vai
1171  | clothes            | quan ao
1172  | clothing           | quan ao
1173  | cloud              | cloud
1174  | cloudburst         | tran mua du doi
1175  | clove              | tep
1176  | clover             | clover
1177  | cloves             | tep
1178  | club               | cau lac bo
1179  | clue               | dau moi
1180  | cluster            | cum
1181  | clutch             | clutch
1182  | co-producer        | cong ty san xuat
1183  | coach              | huan luyen vien
1184  | coal               | than
1185  | coalition          | lien minh
1186  | coast              | bo bien
1187  | coaster            | tau luon
1188  | coat               | ao khoac
1189  | cob                | loi
1190  | cobbler            | cobbler
1191  | cobweb             | mang nhen
1192  | cock               | duong vat
1193  | cockpit            | buong lai
1194  | cockroach          | gian
1195  | cocktail           | cocktail
1196  | cocoa              | ca cao
1197  | coconut            | dua
1198  | cod                | cod
1199  | code               | ma
1200  | codepage           | ma
1201  | codling            | tam ngan,
1202  | codon              | cuoi
1203  | codpiece           | codpiece
1204  | coevolution        | dong tien hoa
1205  | cofactor           | dong yeu to
1206  | coffee             | ca phe
1207  | coffin             | quan tai
1208  | cohesion           | su gan ket
1209  | cohort             | khoa
1210  | coil               | cuon day
1211  | coin               | dong xu
1212  | coincidence        | trung hop ngau nhien
